"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09"
"Upper East Side","New York","NY","New York","New York",1,819.487179487179,781.25,784.985549132948,798.857142857143,805.053571428571,796.811188811189,781.25,777.245508982036,776.923076923077,797.333333333333,795.851489188087,765.217391304348,781.666666666667,751.032412965186,786.862745098039,772.222222222222,765.348639455782,765.348639455782,763.529411764706,773.75,753.867501180916,753.424657534247,768.75,753.246753246753,755.7096637145,765.47619047619,764.285714285714,794.736842105263,776.666666666667,796.078921078921,799.333333333333,800,814.164648910412,784.971098265896,815.715417980386,819.754938734684,829.187396351575,811.354723707665,801.119047619048,829.187396351575,821.140770586754,800,786.416666666667,833.333333333333,831.260364842454,813.657127502351,866.665333333333,833.333333333333,880,902.985302538652,909.821428571429,905.325443786982,887.777777777778,937.147058823529,939,898.461538461538,923.61147327249,903.125,930.200803212851,988.664874551971,950,1004.3077255382,1010.34767422795,1097.18309859155,1184.57300275482,1233.7552742616,1168.88888888889,1184.45322793149,1132.608311229,1121.53846153846,1192.95958279009,1192.95958279009,1250,1276.05964710395,1264.24050632911,1284.6865364851,1170.89802852515,1352.75339185954,1367.00409240487,1396.50482796138,1366.94394202893
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9033391915641,92.8492857142857,95.5357142857143,94.8905109489051,95.467032967033,92.1428571428571,95.6126938614085,92.7152317880795,92.4264119628358,97.1428571428571,97,96.0769230769231,98.3636896202801,97.3053892215569,97.6650795940942,97.2789203084833,100,100.008787346221,102.393617021277,103.920688428506,102.678571428571,99.6517223910841,101.010701545779,102.920510091454,104.097961252095,106.642941874259,107.350858353528,107.530282637954,109.857142857143,112.582368685634,106.944444444444,106.944444444444,106.597222222222,109.203296703297
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.206277024005,539.354838709677,539.354838709677,546.164772727273,554.283736363419,558.267716535433,603.665286554805,619.37984496124,634.761904761905,665,688.976377952756,663.563829787234,654.7670405522,567.960963023077,575.838195989533,579.457727282186,595.020884343944,577.309236947791,577.640068470604,577.716643741403
"Williamsburg","New York","NY","New York","Kings",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181.15055079559,1181.15055079559,1181.15055079559,1178.37078651685,1192.61323735955,1199.34282584885,1207.72946859903,1201.92079461009,1207.86516853933,1208.36749127968,1211.91135734072,1214.06378677847,1219.24253096099,1219.82210927573,1220.34050249063,1236.22077133313,1238.88182973316,1226.75644222776,1228.17955112219,1238.88182973316
"Harlem","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676.006,673.003,728.036156622887,676.006,686.567164179104,725,705.325274725275,729.521407049261,758.358662613982,727.699530516432,727.699530516432,702.380401457743,687.931034482759,700.746268656716,709.480141664559,746.85446487698,760.212642539826,803.363320384379,808.920646938818,813.564476885645,808.641975308642,820.707070707071,853.554966791275,814.40935708689,817.680028696978,778.712258811761,833.633958633959,909.090909090909,986.003110419907,1010.177257484,1020.32219824716,1027.9823269514
"Enterprise","Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.949109414758,143.765903307888,144.634274405267,144.634274405267,145.502645502645,146.310432569975,134.629536973336,133.948339483395,149.329268292683,155.392466585662,146.051557748402,147.455470737913,145.701219512195,145.731707317073,158.119658119658
"Downtown","San Jose","CA","San Jose","Santa Clara",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.33114570373,529.634300126103,554.736842105263,529.634300126103,526.750324287395,603.45473218225,567.368421052632,589.853855361211,594.854894415482,594.854894415482,592.250859106529,590,615.558060879369
"Sheepshead Bay","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.666666666667,245.833333333333,244.615384615385,252.119402985075,252.380952380952,245.882352941176,275,268.1,261.2,263.1,260,263.602941176471,264.852941176471,264.117058823529,258.024691358025,259.756592292089,264.939759036145,259.756592292089,260.689655172414,265.166666666667,262.5,292.317259854573,313.333333333333
"Forest Hills","New York","NY","New York","Queens",9,,,,,,,,256.929523809524,260,260,256.111111111111,250.375,242.352941176471,226.149389354341,240,228.291666666667,224.137254901961,230.756578947368,252,259.924242424242,267.058823529412,261.25,256.25,254.032638974485,250.666666666667,250.285714285714,250.666666666667,265.019607843137,264.785373608903,257.647058823529,256.948529411765,254.285714285714,250.285714285714,253.222222222222,259.121621621622,259.538288288288,259.833333333333,253.446455505279,258.954954954955,251.454367301232,251.454367301232,260,264.705882352941,261.634615384615,277.990769230769,269,276.342105263158,276.342105263158,283.721804511278,281.25,282.053571428571,286.666666666667,283.781512605042,290.769230769231,281.25,284.761904761905,286.880952380952,282.278357963875,296.041666666667,296.433823529412,308.262152777778,324.951923076923,339.40188172043,305.555555555556,308.388380952381,331.25,321.538461538462,321.324786324786,338.010752688172,332.777777777778,358.333333333333,332,321.111111111111,328.790697674419,340.83962184874,347.904411764706,347.058823529412,351.764705882353,358.666666666667,359.055555555556,359.194444444444
"Jackson Heights","New York","NY","New York","Queens",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.666666666667,246.666666666667,246.666666666667,238.666666666667,239.144444444444,238.777777777778,238.888888888889,243.333333333333,246.666666666667,246.666666666667,252,241.176470588235,241.428571428571,243.809523809524,241.894841269841,243.333333333333,256,258.412698412698,262.857142857143,265.333333333333,263.888888888889,265.259259259259,263.944444444444,264.285714285714,263.428571428571,265.333333333333,270,278.666666666667,278.666666666667,284.615384615385,300,292,300,281.666666666667,281.666666666667,308.888888888889,312.882882882883,300,321.888888888889,333.225205070843,322.487373737374,314.285714285714,332,333.857142857143,351.666666666667,398.666666666667,398.666666666667,409.473684210526,424.989754098361,434.972677595628,436.842105263158
